MAIN_ID,SP_TYPE,DIST(pc),Mdot,Ref,Inclination,Ref,U,A_U,B,A_B,V,A_V,R,A_R,I,A_I,J,A_J,H,A_H,K,A_K,2MASS_FLAG,W1,A_W1,W2,A_W2,IRAC_8,F9,F9_FLAG,IRAS_12,W3,A_W3,IRS_16,F18,F18_FLAG,IRS_22,W4,A_W4,WISE_FLAG,MIPS_24,IRAS_25,F25_FLAG,REF,IRAS_60,F60_FLAG,REF,F65,F65_FLAG,REF,70,REF,F90,F90_FLAG,REF,IRAS_100,F100_FLAG,Ref,F140,F140_FLAG,REF,F160,F160_FLAG,REF,350,REF,450,REF,600,REF,750,REF,800,REF,850,REF,870,REF,890,REF,1100,REF,1200,REF,1300,REF,1400,REF,2000,REF,2600,REF,2700,REF,3000,REF,3100,REF,3200,REF,3300,REF,3400,REF,3500,REF,6800,REF,7000,REF,13000,REF,36000,REF,60000,REF,MAIN_ID,MEEUS_GRP,Ref,Refs for Why Stars are Added,RA,DEC,Teff,V_correc,V_abs,BC_V,M_Bol,L(L_SUN)
hd 259431,B2,800,0.00000078,Donehew & Brittain 2011,,,8.3900003,2.173053924,8.9499998,1.846899356,8.7200003,1.39499845,8.8999996,1.045266444,,0.668027427,7.454,0.39295731,6.666,0.245205361,5.726,0.150109692,000,4.456,0.073614003,3.13,0.045493159,null|,11.49,3,null|,1.444,0.038026479,null|,11.8,3,null|,-0.499,0.024816197,hdhh ,null|,23.5,3,,114,3,,104,3,,,,111.900002,1,,176,3,,104.800003,3,,110.800003,3,,,,1.13,,,,,,,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hd 259431,I,Acke et al. 2010,,06 33 05,+10 19 19,20600,7.32500185,-2.190448085,-2.06,-4.250448085,3946.201288
r mon,B8IIIe,800,,,,,12.45,3.621760563,12.81,3.078169014,12.15,2.325,11.19,1.742112676,10.98,1.113380282,9.686,0.654929577,8.028,0.408676056,6.384,0.250183099,000,3.018,0.122690141,-0.035,0.075822016,null|,34.07,3,null|,-0.202,0.063377535,null|,79.239998,3,null|,-2.717,0.041360375,0h00 ,null|,139,3,,132,3,,null|,null|,,,,null|,null|,,163,3,,null|,null|,,null|,null|,,2.6,,1.2,,,,,,0.197,,0.171,,,,,,0.08,,,,0.1,Hillenbrand 1992,0.0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r mon,,,,06 39 09,+08 44 09,12500,9.825,0.309550065,-0.81,-0.500449935,124.7900544
v590 mon,B7,800,,,,,12.84,1.303833803,12.93,1.108140845,12.77,0.837,12.46,0.627160563,12.23,0.400816901,11.438,0.235774648,10.448,0.14712338,9.33,0.090065915,000,7.812,0.044168451,6.888,0.027295926,1.31E+00,2.024,3,2.19E+00,3.219,0.022815913,2.85E+00,3.075,3,4.42E+00,0.843,0.014889735,h00h ,4.30E+00,9.3,3,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v590 mon,I,Acke et al. 2010,,06 40 44,+09 48 02,14000,11.933,2.417550065,-1.07,1.347550065,22.74992525
HBC 222,F8,910,,,,,,0.144870423,12.42,0.123126761,11.87,0.093,,0.069684507,,0.044535211,10.744,0.026197183,10.234,0.016347042,9.666,0.010007324,000,8.748,0.004907606,8.337,0.003032881,5.59E-02,null|,null|,4.09E-02,7.088,0.002535101,4.56E-02,null|,null|,1.16E-01,4.13,0.001654415,0h0d,1.26E-01,1.22E-01,3,,null|,1,,null|,null|,,,,null|,null|,,null|,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HBC 222,,,Manoj,06 40 51.185,+09 44 46.12,6150,11.777,1.981793038,-0.07,1.911793038,13.52953233
HD 52721,B2Vne,670,0.00001,Fairlamb et al. 2015,,,5.8800001,1.352123667,6.6500001,1.149182864,6.5900002,0.867999823,,0.650388599,,0.415661887,6.243,0.244506992,6.156,0.152572363,6.038,0.093401671,000,6.04,0.04580431,5.631,0.02830688,4.47E-01,0.1159,3,null,5.071,0.023660942,null,      null|,0,null,2.483,0.015441203,0000,null,5.4,3,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,0.023,"Th. Henning et al. 1994, cold dust, 1 sigma detected",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 52721,II,Acke & van den Ancker; A Survey for nanodiamond features,,07 01 49,-11 18 03,20600,5.722000377,-3.408373637,-2.06,-5.468373637,12115.72632
lkh 218,A0e,1050,,,,,12.55,2.028185915,12.29,1.723774648,11.87,1.302,11.38,0.975583099,11.09,0.623492958,10.255,0.366760563,9.419,0.228858592,8.577,0.140102535,000,7.297,0.068706479,6.39,0.042460329,null|,0.8827,3,null|,3.905,0.03549142,null|,0.9215,3,null|,2.22,0.02316181,0h00 ,null|,2.50E-01,1,,6.07E+01,1,,null|,null|,,,,null|,null|,,1.95E+02,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,0.009,"Th. Henning et al. 1994, cold dust, 1 sigma detected",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkh 218,,,,07 02 42,-11 26 11,9700,10.568,0.462053505,-0.24,0.222053505,64.14733202
lkh 220,B8e,1050,,,,,12,1.786735211,12.09,1.51856338,11.81,1.147,11.41,0.859442254,10.91,0.549267606,10.763,0.323098592,10.022,0.201613521,9.116,0.123423662,000,7.884,0.060527136,7.08,0.037405528,null|,0.8885,3,null|,3.907,0.031266251,null|,1.107,3,null|,2.054,0.020404451,0hhh ,null|,null|,null|,,null|,null|,,1.628,1,,,,1.763,2,,null|,null|,,12.08,2,,4.945,1,,,,,,,,,,,,,,,,,,,,,,-0.036,"Th. Henning et al. 1994, cold dust, 1 sigma detected",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkh 220,,,,07 04 06,-11 26 08,12500,10.663,0.557053505,-0.81,-0.252946495,99.35245389
hd 53367,B0IV/Ve,780,0.000000012,Donehew & Brittain 2011,,,6.8099999,3.573470699,7.4000001,3.037126995,6.96,2.294000177,,1.71888464,,1.098535296,6.332,0.646197233,6.22,0.403227073,6.117,0.246847343,000,5.104,0.121054282,4.647,0.074811061,3.31E-01,1.065,3,null,4.167,0.062532506,null,      null|,0,null,1.019,0.040808906,hhhd ,null,23,3,,57.3,3,,null|,null|,,,,null|,null|,,null|,null|null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,0.027,"Th. Henning et al. 1994, cold dust, 1 sigma detected",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hd 53367,,,,07 04 25,-10 27 15,31500,4.665999823,-4.79447319,-3.02,-7.81447319,105145.1576
IRAS 07061-0414,B0,7950,,,,,12.48,4.58756338,12.71,3.899014085,12.06,2.945,,2.206676056,,1.41028169,12.942,0.829577465,14.531,0.517656338,11.861,0.316898592,0c0,8.256,0.155407512,7.21,0.09604122,null|,null,0,null|,0.667,0.080278211,null|,43.509998,3,null|,-2.066,0.052389808,0hhh,null|,7.10E+01,3,,5.29E+02,3,,987.099976,1,,,,1371,0,,6.16E+02,3,,360.299988,3,,446,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRAS 07061-0414,,,Cauley,07 08 38.796,-04 19 04.86,31500,9.115,-5.386835643,-3.02,-8.406835643,181440.5097
NX Pup,A1e/F2IIIe,450,1.07152E-07,Gracia Lopez et al. 2006,,,,2.173058733,10.47,1.846903444,9.9899998,1.395001537,,1.045268758,,0.668028905,8.579,0.39295818,7.285,0.245205904,6.08,0.150110025,000,4.587,0.073614166,3.503,0.04549326,4.39E+00,5.197,3,4.80E+00,2.011,0.038026563,4.47E+00,4.652,3,4.66E+00,0.597,0.024816252,0h0h ,4.32E+00,9.1,3,,14.1,3,,null|,null|,,,,null|,null|,,42.2,3,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,0.02,"Th. Henning et al. 1994, cold dust, 1 sigma detected",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NX Pup,II,Acke et al. 2010,,07 19 28,-44 35 11,9200,8.594998263,0.328935694,-0.15,0.178935694,66.7460735
DW Cma,B2,3200,0.000109648,Fairlamb et al. 2015,,,14.61,7.43668169,14.32,6.320507042,13,4.774,,3.577138028,,2.286140845,9.232,1.344788732,7.759,0.839148169,6.436,0.513709296,000,4.841,0.251923756,3.29,0.155687873,null|,10.38,3,null|,0.615,0.130135206,null|,20.75,3,null|,-1.299,0.084926636,0000,null|,3.26E+01,3,,5.18E+01,3,,47.099998,3,,,,33.189999,3,,5.38E+01,3,,36.009998,3,,53.979999,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW Cma,,,Cauley,07 19 35.94,-17 39 18.0,20600,8.226,-4.299749892,-2.06,-6.359749892,27535.94317
HD 58647,B9,721,1.44544E-05,"Mendigutia, Calvet, et al. 2011",,,6.81,0.627771831,6.92,0.533549296,6.85,0.403,6.73,0.301966197,6.73,0.192985915,6.438,0.113521127,6.105,0.070837183,5.436,0.04336507,000,4.323,0.021266291,3.076,0.013142483,5.23E+00,5.068,3,null,2.247,0.010985439,null,2.774,3,null,1.333,0.007169132,HHHH,null,2.87E+00,3,,4.70E-01,3,,null|,null|,,,,null|,null|,,7.36E+00,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 58647,II,Acke et al. 2010,van den Ancker 1998,07 25 56.09869,-14 10 43.5507,10700,6.447,-2.842676324,-0.42,-3.262676324,1588.80475
V388 Vel,Ae,,,,,,,5.548537183,15.976,4.71575493,14.687,3.5619,,2.66891662,,1.705698592,11.552,1.003352113,10.066,0.626091718,8.824,0.383280507,000,6.724,0.187961296,5.796,0.116159328,9.00E-01,3.775,3,null,2.239,0.097094384,null,6.73,3,null,-0.388,0.063364094,hhhh ,null,1.08E+01,3,,3.56E+01,3,,38.380001,3,,,,49.310001,3,,6.93E+01,3,,57.130001,3,,57.84,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V388 Vel,,,,08 42 16, -40 44 10,99.99,11.1251,#NUM!,99.99,#NUM!,#NUM!
HD 76534,B2Vne,870,1.12202E-07,Fairlamb et al. 2015,,,7.04,1.641864236,7.6199999,1.39543615,7.5,1.053999645,,0.789757481,,0.504732224,7.818,0.296901309,7.858,0.185266417,7.804,0.1134163,000,7.27,0.055619512,7.138,0.034372636,6.35E-02,0.1179,3,null,6.28,0.02873114,null,      null|,0,null,4.283,0.01875003,0000,null,0.7,3,,null|,null|,,null|,null|,,,,null|,null|,,70.2,3,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,-0.008,"Th. Henning et al. 1994, cold dust, 1 sigma detected",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 76534,,,,08 55 08,-43 27 59,20600,6.446000355,-3.251595908,-2.06,-5.311595908,10486.68839
HD 85567,B2Ve,1500,,,,,8.1599998,1.545286349,8.6700001,1.313353678,8.5699997,0.992001183,,0.743302295,,0.47504282,7.472,0.279436953,6.68,0.174368659,5.774,0.106744916,ss0 ,4.603,0.052347856,3.599,0.032350765,5.29E+00,5.968,3,null,1.791,0.027041114,null,5.179,3,null,0.46,0.017647114,hhp0 ,null,5.81E+00,3,,1.40E+00,3,,0.8836,1,,,,0.7291,3,,8.84E+00,2,,2.294,1,,0.4752,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 85567,II,Acke et al. 2010,,09 50 28,-60 58 02,20600,7.577998517,-3.302457778,-2.06,-5.362457778,10989.63103
HD 94509,B8e,674,,,,,,0.482897908,9.1499996,0.410419561,9.1400003,0.309997753,,0.232280007,,0.148449628,9.044,0.087323311,8.99,0.054489746,8.929,0.033357505,000,8.549,0.016358567,8.382,0.010109529,null|,      null|, null,null|,7.616,0.008450277,null|,      null|,null,null|,6.05,0.005514677,dddd ,null|,null|,null|,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 94509,,,,10 53 27,-58 25 24,12500,8.830002547,-0.313296936,-0.81,-1.123296936,221.4719728
HD 95881,A1/A2III/IV,118,2.23872E-06,Fairlamb et al. 2015,,,,0.531193207,8.3699999,0.451466198,8.2299995,0.341001064,8.1999998,0.255510657,,0.163296284,7.384,0.096056638,6.662,0.059939342,5.734,0.036693636,000,4.506,0.01799461,3.469,0.011120597,6.14E+00,6.31,3,null,1.693,0.009295401,null,5.074,3,null,0.523,0.006066207,0h00 ,null,6.87E+00,3,,1.45E+00,3,,null|,null|,,,,null|,null|,,1.09E+00,1,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 95881,II,Acke et al. 2008,,11 01 57,-71 30 48,9200,7.888998436,2.529588399,-0.15,2.379588399,8.793558158
HD 97048,A0Vep,175,6.91831E-09,Fairlamb et al. 2015,,,,1.492165352,8.764,1.268205634,8.455,0.9579,8.27,0.717750423,,0.458712676,7.267,0.269830986,6.665,0.168374535,5.941,0.103075437,000,4.474,0.050548338,4.467,0.031238671,5.36E+00,6.046,3,null,1.34,0.026111545,null,17.18,3,null,-1.32,0.017040474,hhhd ,null,48.3,3,,null|,null|,,71.360001,3,,67.94,,66.040001,3,,69.81,3,,49.580002,3,,59.31,3,,,,,,,,,,,,,,2.61,,,,,,,,0.4515,"Th. Henning et al. 1993, 1.3 mm survey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 97048,I,Acke et al. 2008,,11 08 03,-77 39 17,9700,7.4971,1.281909757,-0.24,1.041909757,30.14644443
HD 98922,B9,1000,1.7378E-06,Gracia Lopez et al. 2006,,,,0.478072394,6.802,0.40631831,6.763,0.3069,6.74,0.229958873,,0.146966197,6.004,0.086450704,5.226,0.053945239,4.28,0.033024169,dd0 ,2.479,0.016195099,0.824,0.010008506,null|,26.58,3,null|,0.06,0.008365835,null|,21.530001,3,null|,-1.06,0.005459569,HHHH ,null|,2.72E+01,3,,6.19E+00,3,,3.244,3,,3.73,,2.593,3,,7.96E+00,1,,1.132,1,,0.81,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 98922,II,,,11 22 31,-53 22 11,10700,6.4561,-3.5439,-0.42,-3.9639,3030.818992
HD 100453,A9Ve,112,4.89779E-09,Fairlamb et al. 2015,,,,0.033803099,8.072,0.028729577,7.795,0.0217,7.63,0.016259718,,0.010391549,6.945,0.006112676,6.39,0.00381431,5.6,0.002335042,000,4.709,0.001145108,3.666,0.000707672,null|,5.518,3,null|,1.35,0.000591524,null|,18.74,3,null|,-1.346,0.00038603,hhhh,null|,3.36E+01,3,,3.94E+01,3,,35.229999,3,,36.26,,28.65,3,,2.75E+01,3,,15.770001,3,,15.86,3,,,,,,,,,,,,,,0.494,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 100453,I,Acke et al. 2008,,11 33 05, -54 19 28,7440,7.7733,2.527209887,0,2.527209887,7.67566559
HD 100546,B9Vne,103,9.12011E-08,Fairlamb et al. 2015,,,,2.269635883,6.71,1.928985289,6.3000002,1.456999527,6.6999998,1.091723589,6.6399999,0.697718083,6.425,0.410422402,5.962,0.256103579,5.418,0.156781358,000,4.203,0.076885797,3.455,0.047515115,null|,38.470001,3,null|,-0.397,0.039716576,null|,158.5,3,null|,-3.227,0.02591916,HHHH ,null|,2.43E+02,3,,1.65E+02,3,,156.5,3,,160.6,,87.959999,3,,1.16E+02,3,,42.639999,3,,53.88,3,,,,,,,,,,1.1311,,,,1.324,,,,,,,,0.465,"Th. Henning et al. 1994, cold dust",,,,,,,0.036,,,,,,,,,,,,,,,,,,,,,,,,HD 100546,I,Acke et al. 2008,,11 33 25,-70 11 41,10700,4.843000673,-0.221185451,-0.42,-0.641185451,142.0607752
HD 101412,A0V,160,2.45471E-08,Fairlamb et al. 2015,,,,0.854735714,9.4650002,0.726448075,9.2880001,0.548700142,9.3000002,0.411138698,,0.262757814,8.635,0.15456342,8.217,0.096447574,7.466,0.059043227,000,6.126,0.028954881,4.994,0.017894,1.89E+00,2.344,3,null,2.869,0.014957102,null,2.51,3,null,1.325,0.009761051,0h00 ,null,3.09E+00,3,,1.69E+00,2,,null|,null|,,,,null|,null|,,1.05E+01,2,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 101412,II,,,11 39 44,-60 10 27,9700,8.739299958,2.718700045,-0.24,2.478700045,8.026384898
t cha,F5,66.4,,,,,13.01,4.056371831,12.23,3.447549296,10.97,2.604,,1.951166197,,1.246985915,8.955,0.733521127,7.86,0.457717183,6.954,0.28020507,000,5.857,0.137412958,5.043,0.084920658,5.80E-01,0.5992,3,null,4.663,0.070982839,null,0.8096,3,null,2.567,0.04632362,0000,null,1.74E+00,3,,6.81E+00,3,,5.548,3,,,,5.612,3,,6.46E+00,1,,4.814,3,,3.64,1,,,,,,,,,,,,,,,,,,,,,,0.1052,"Th. Henning et al., 1993 1.3 mm survey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t cha,II,"Acke & van den Ancker; A Survey for nanodiamond features, though another study by Baines et al. 2012 says I",,11 57 13,-79 21 31,6510,8.366,4.255159603,-0.04,4.215159603,1.621571709
HD 104237,A4IVe,116,2.0893E-07,Fairlamb et al. 2015,,,,0.434611452,6.8099999,0.369380438,6.5999999,0.279000118,6.5999999,0.20905361,,0.13360569,5.813,0.078591583,5.246,0.049041148,4.585,0.030021985,000,3.803,0.014722823,2.848,0.009098646,9.24E+00,13.479999,3,null,0.927,0.007605307,null,13,3,null,-0.518,0.004963247,hhhh ,null,2.31E+01,3,,1.47E+01,3,,10.04,3,,10.17,,8.6,3,,9.58E+00,3,,5.116,3,,4.64,3,,,,,,,,,,,,,,,,,,,,,,0.092,"Th. Henning et al. 1994, cold dust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 104237,II,Acke et al. 2008,,12 00 05,-78 11 34,8270,6.320999782,0.998709836,-0.04,0.958709836,32.54738234
Hen 3-847,B5e,32,1.7378E-06,Fairlamb et al. 2015,,,,1.014091484,10.65,0.861886071,10.58,0.650999054,,0.48779084,,0.311746026,10.177,0.183380015,9.424,0.114429129,7.805,0.070051166,000,5.221,0.03435319,3.299,0.021230134,null|,26.82,3,null|,0.137,0.017745684,null|,34.5,3,null|,-1.665,0.011580888,0000,null|,4.88E+01,3,,1.30E+01,3,,8.024,3,,,,6.223,3,,3.31E+00,3,,3.093,3,,3.047,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hen 3-847,,,,13 01 17,-48 53 18,15700,9.929000946,7.403251054,-1.35,6.053251054,0.29833182
CPD-61 3587B,B0,535,,,,,,2.569035493,11.001,2.183447887,10.769,1.6492,10.63,1.235738592,,0.789757746,10.016,0.46456338,9.92,0.289887549,9.799,0.177463211,000,8.644,0.087028207,8.461,0.053783083,null|,      null|, null,null|,5.006,0.044955798,null|,      null|,null,null|,1.118,0.029338292,hhdd ,null|,null|,null|,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPD-61 3587B,,,,13 19 04, -62 34 10,31500,9.1198,0.47803109,-3.02,-2.54196891,818.0645325
cq uma,A2IVpSrCr,161,,,,,,0.226963662,6.383,0.192898592,6.276,0.1457,6.22,0.109172394,,0.069771831,6.152,0.041042254,6.211,0.025610366,6.197,0.015678141,000,6.203,0.007688582,6.12,0.004751513,null|,0.1933,3,null|,6.246,0.003971659,null|,      null|,0,null|,6.056,0.002591917,0000,null|,null|,null|,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cq uma,,,,13 40 21,+57 12 27,8840,6.1303,0.09617062,-0.1,-0.00382938,78.9826593
HD 130437,B1Ve,39,,,,,10.2,3.959793576,10.54,3.365466511,9.9799995,2.542001301,,1.904710834,,1.217296398,7.943,0.716056704,7.62,0.446819384,7.276,0.273533661,000,6.747,0.134141289,6.434,0.08289878,null|,0.2825,3,null|,5.653,0.069292807,null|,      null|,0,null|,4.395,0.045220699,hhdp ,null|,null|,null|,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 130437,,,,14 50 50,-60 17 10,26000,7.437998199,4.482675164,-2.61,1.872675164,14.02587404
SS73 44,B6,700,,,,,,3.042278873,13.63,2.585661972,13.13,1.953,,1.463374648,,0.935239437,9.75,0.550140845,8.747,0.343287887,7.822,0.210153803,000,6.483,0.103059718,5.446,0.063690493,1.39E+00,1.715,3,null,2.95,0.05323713,null,3.733,3,null,0.609,0.034742715,0h00 ,null,null|,null|,,null|,null|,,6.766,3,,,,8.581,3,,null|,null|,,9.391,3,,12.49,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SS73 44,I,Acke et al. 2010,,15 03 23,-63 22 58,14500,11.177,1.9515098,-1.16,0.7915098,37.96610811
HD 132947,B9V,376,1.94984E-07,Fairlamb et al. 2015,,,,0.579483716,9,0.492508764,8.9399996,0.372001301,,0.278739003,,0.178141468,8.735,0.104789099,8.664,0.065388398,8.623,0.040029436,ddc,5.955,0.019630491,5.724,0.012131565,2.97E-02,0.512,3,null,4.653,0.010140441,null,0.3588,3,null,3.567,0.006617683,hh00 ,null,null|,null|,,null|,null|,,null|,null|,,,,null|,null|,,null|,null|,,null|,null|,,null|,null|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 132947,,,,15 04 56,-63 07 52,10700,8.567998299,0.692059074,-0.42,0.272059074,61.25991223
HD 135344 B,F4,140,4.2658E-08,Fairlamb et al. 2015,,,,0.540849577,9.21,0.459673239,8.708,0.3472,8.7,0.260155493,,0.166264789,7.279,0.097802817,6.587,0.061028958,5.843,0.037360676,000,4.964,0.018321728,4.208,0.011322754,null|,1.727,3,null|,3.374,0.009464379,null|,3.285,3,null|,0.429,0.006176483,hh0h,null|,6.71E+00,3,,2.56E+01,3,,24.41,3,,30.45,,23.65,3,,2.91E+01,3,,23.73,3,,20.82,3,,5.8,,3.18,,,,,,0.57,,0.49,,,,,,0.209,,,,0.142,,,,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 135344 B,I,Acke et al. 2008,Maaskant/Manoj,15 15 48.4394,-37 09 16.026,6640,8.3608,2.630159822,-0.04,2.590159822,7.243293301
HD 139614,A7Ve,140,2.34423E-08,Fairlamb et al. 2015,,,,0.125554366,8.465,0.106709859,8.249,0.0806,8.41,0.060393239,,0.038597183,7.669,0.022704225,7.333,0.014167437,6.748,0.008673014,000,5.892,0.004253258,5.222,0.002628497,null|,2.386,3,null|,2.047,0.002197088,null|,10.57,3,null|,-0.667,0.001433826,0000,null|,1.81E+01,3,,1.93E+01,3,,16.99,3,,18.68,,16.200001,3,,1.69E+01,3,,13.19,3,,12.79,3,,,,,,,,,,0.608,,,,,,,,0.272,,,,0.242,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 139614,I,Acke et al. 2008,,15 40 46,-42 29 53,7800,8.1684,2.437759822,0,2.437759822,8.334817048
HD 141569,A0Ve,99,1.28825E-07,"Mendigutia, Calvet, et al. 2011",55,Cauley 2014,7.2199998,0.386320758,7.1999998,0.328337715,7.1199999,0.247999763,7,0.185825175,7.04,0.11876045,6.872,0.069859088,6.861,0.043592071,6.821,0.026686172,000,6.061,0.013086936,6.095,0.008087674,null|,0.5178,3,null|,4.701,0.006760264,null|,0.8655,3,null|,1.861,0.004411769,0000,1.47,1.87E+00,3,,5.54E+00,3,,6.521,3,,4.7,,3.917,3,,3.29E+00,3,,3.915,3,,1.28,3,,,,0.0649,,,,,,0.3666,,0.0109,,,,,,0.036,,,,0.0124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 141569,II,Acke et al. 2008,,15 49 57,-03 55 16,9700,6.872000137,1.893824164,-0.24,1.653824164,17.15814503
HD 142666,A8,150.1,1.86E-07,"Mendigutia, Calvet, et al. 2011",48.6,Vural et al. 2014,9.4099998,1.545284507,9.3699999,1.313352113,8.8199997,0.992,8.3100004,0.743301408,8.0100002,0.475042254,7.351,0.27943662,6.739,0.174368451,6.077,0.106744789,000,5.221,0.052347793,4.373,0.032350727,null|,5.152,3,null|,1.601,0.027041082,null|,6.578,3,null|,-0.062,0.017647093,0000,null|,1.12E+01,3,IRAS,7.23E+00,3,IRAS,5.259,3,AKARI,6.56,Pascual et al. 2016,5.729,3,AKARI,5.91E+00,3,Pascual et al. 2016,5.966,3,AKARI,4.33,3,Pascual et al. 2016,,,1.14,van der Veen et al. 1994,,,,,0.351,"Sylvester, Skinner et al. 1996",0.313,Acke et al. 2004,,,,,0.18,Acke et al. 2004,0.1025,Meeus et al. 2012,0.099,Meeus et al. 2012,,,0.063,"Sylvester, Skinner et al. 1996, upper limit",,,,,,,0.013,Natta et al. 2004,,,0.011,Natta et al. 2004,,,,,,,0.0017,Natta et al. 2004,,,0.0002,"Natta et al. 2004, 3 sigma upper limit",,,HD 142666,II,Acke et al. 2008,,15 56 40,-22 01 40,7580,7.8279997,1.946096239,-0.1,1.846096239,14.37346595
HD 142527,F6III,198,6.91831E-08,Gracia Lopez et al. 2006,,,,0.994776901,9.014,0.845470423,8.348,0.6386,7.91,0.478500282,,0.305808451,6.503,0.179887324,5.715,0.11224969,4.98,0.068716958,000,4.28,0.033698892,3.343,0.02082578,8.07E+00,9.095,3,null,1.276,0.017407696,null,11.1,3,null,-0.785,0.011360316,HHHH,null,2.12E+01,3,,1.05E+02,3,,null|,null|,,113.25,,null|,null|,,9.87E+01,3,,null|,null|,,63.71,3,,,,,,,,,,4.1605,,,,,,,,,,,,1.1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 142527,I,Acke et al. 2008,,15 56 41,-42 19 23,6340,7.7094,1.226074049,-0.05,1.176074049,26.64221818
HD 144432,A9IVe,145,6.03E-08,"Mendigutia, Calvet, et al. 2011",30,Cauley 2014,8.4700003,0.338031469,8.5299997,0.287296185,8.1899996,0.21700031,7.8200002,0.162597415,7.5300002,0.103915641,7.095,0.061126848,6.538,0.038143153,5.888,0.023350456,000,5.359,0.011451096,4.571,0.007076732,null|, ,0,7.533,1.792,0.005915245,null|,7.326,3,null|,0.051,0.003860307,0hp0 ,null|,9.36E+00,3,,5.77E+00,3,,5.29,3,,,,4.916,3,,3.29E+00,3,,3.698,1,,3.431,1,,,,,,,,,,0.103,,0.129,,,,,,0.069,,,,0.0446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 144432,II,Acke et al. 2008,,16 06 57,-27 43 09,7440,7.97299929,2.166159279,0,2.166159279,10.70375817
